,heuristic,N,energy_mean,energy_std
0,mnsat,20,1.3689559548229403e-11,1.0079157375845301e-14
1,mnsat,50,3.448437872386942e-11,1.7250646914927734e-14
2,mnsat,75,5.184836388074995e-11,2.4889755520041944e-14
3,mnsat,100,6.880408440831871e-11,2.4949364760230248e-14
4,mnsat,125,8.619770649529239e-11,2.804738733690662e-14
5,mnsat,150,1.0357994239216163e-10,3.074142017316843e-14
6,gnsat-u,20,4.521178285805791e-12,1.5868983302619583e-14
7,gnsat-u,50,1.0754532544372875e-11,5.389055811096796e-14
8,gnsat-u,75,1.6407024007819286e-11,6.098547356021785e-14
9,gnsat-u,100,2.1631863605514474e-11,8.831911465870646e-14
10,gnsat-u,125,2.6965596341115054e-11,1.0414880642696327e-13
11,gnsat-u,150,3.264364685298664e-11,1.0500724952108613e-13
12,gnsat-n,20,1.5474259057326565e-11,1.532340264857945e-14
13,gnsat-n,50,3.867211399358429e-11,5.468196367235829e-14
14,gnsat-n,75,5.810084301339496e-11,6.398008770488072e-14
15,gnsat-n,100,7.710103942715228e-11,9.252389661480074e-14
16,gnsat-n,125,9.657874053880084e-11,1.1666517168826222e-13
17,gnsat-n,150,1.1602035046678741e-10,1.157976357255306e-13
